LIMES;Enavi;UnitLIMES;UnitEnavi;ConvFactor
Secondary Energy|Electricity;Secondary Energy|Electricity;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Biomass;Secondary Energy|Electricity|Biomass;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Biomass|w/o CCS;Secondary Energy|Electricity|Biomass|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Coal;Secondary Energy|Electricity|Coal;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Coal|w/ CCS;Secondary Energy|Electricity|Coal|w/ CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Coal|w/o CCS;Secondary Energy|Electricity|Coal|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Curtailment;Secondary Energy|Electricity|Curtailment;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas CC;Secondary Energy|Electricity|Gas CC;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas OC;Secondary Energy|Electricity|Gas OC;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas CC|w/ CCS;Secondary Energy|Electricity|Gas CC|w/ CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas CC|w/o CCS;Secondary Energy|Electricity|Gas CC|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas OC|w/o CCS;Secondary Energy|Electricity|Gas OC|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas;Secondary Energy|Electricity|Gas;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas|w/ CCS;Secondary Energy|Electricity|Gas|w/ CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas|w/o CCS;Secondary Energy|Electricity|Gas|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hard Coal;Secondary Energy|Electricity|Hard Coal;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hard Coal|w/ CCS;Secondary Energy|Electricity|Hard Coal|w/ CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hard Coal|w/o CCS;Secondary Energy|Electricity|Hard Coal|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hydro;Secondary Energy|Electricity|Hydro;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Lignite;Secondary Energy|Electricity|Lignite;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Lignite|w/ CCS;Secondary Energy|Electricity|Lignite|w/ CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Lignite|w/o CCS;Secondary Energy|Electricity|Lignite|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Net Exports;Secondary Energy|Electricity|Net Exports;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Nuclear;Secondary Energy|Electricity|Nuclear;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Oil;Secondary Energy|Electricity|Oil;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Oil|w/o CCS;Secondary Energy|Electricity|Oil|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Other;Secondary Energy|Electricity|Other;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Other Fossil;Secondary Energy|Electricity|Other Fossil;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Solar;Secondary Energy|Electricity|Solar;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Solar|CSP;Secondary Energy|Electricity|Solar|CSP;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Solar|PV;Secondary Energy|Electricity|Solar|PV;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Wind;Secondary Energy|Electricity|Wind;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Wind|Offshore;Secondary Energy|Electricity|Wind|Offshore;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Wind|Onshore;Secondary Energy|Electricity|Wind|Onshore;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage Losses;Secondary Energy|Electricity|Storage Losses;TWh/yr;TWh/yr;1
Price|Carbon|Net|Electricity;Price|Carbon|Net|Electricity;Eur2010/t CO2;Eur2015/t CO2;1
Price|Carbon|National Climate Target|Power Sector;Price|Carbon|National Climate Target|Power Sector;Eur2010/t CO2;Eur2015/t CO2;1
Price|Carbon|ETS;Price|Carbon|ETS;Eur2010/t CO2;Eur2015/t CO2;1
Price|Carbon|Net|Industry;Price|Carbon|Net|Industry;Eur2010/t CO2;Eur2015/t CO2;1
Price|Carbon|National Climate Target|Industry;Price|Carbon|National Climate Target|Industry;Eur2010/t CO2;Eur2015/t CO2;1
Carbon Sequestration|CCS|Electricity;Carbon Sequestration|CCS|Electricity;Mt CO2/yr;Mt CO2/yr;1
Carbon Sequestration|CCS|Electricity|Biomass;Carbon Sequestration|CCS|Electricity|Biomass;Mt CO2/yr;Mt CO2/yr;1
Carbon Sequestration|CCS|Electricity|Fossil;Carbon Sequestration|CCS|Electricity|Fossil;Mt CO2/yr;Mt CO2/yr;1
Total Energy System Cost|Power Sector|w/o trade and w/o CO2 costs;Total Energy System Cost|Power Sector|w/o trade and w/o CO2 costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|w/ trade and w/o CO2 costs;Total Energy System Cost|Power Sector|w/ trade and w/o CO2 costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|w/ trade and w/ CO2 costs;Total Energy System Cost|Power Sector|w/ trade and w/ CO2 costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Fuel Costs;Total Energy System Cost|Power Sector|Fuel Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Investment Costs;Total Energy System Cost|Power Sector|Investment Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Generation Investment Costs;Total Energy System Cost|Power Sector|Generation Investment Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Generation Investment Costs|Renewable;Total Energy System Cost|Power Sector|Generation Investment Costs|Renewable;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Transmission Investment Costs;Total Energy System Cost|Power Sector|Transmission Investment Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|O&M Costs;Total Energy System Cost|Power Sector|O&M Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|CO2 costs;Total Energy System Cost|Power Sector|CO2 costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Trade Costs;Total Energy System Cost|Power Sector|Trade Costs;billion eur2010/yr;billion Eur2015/yr;1
Capacity Additions|Electricity|Biomass;Capacity Additions|Electricity|Biomass;GW/yr;GW/yr;1
Capacity Additions|Electricity|Biomass|w/o CCS;Capacity Additions|Electricity|Biomass|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Coal;Capacity Additions|Electricity|Coal;GW/yr;GW/yr;1
Capacity Additions|Electricity|Coal|w/ CCS;Capacity Additions|Electricity|Coal|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Coal|w/o CCS;Capacity Additions|Electricity|Coal|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas CC|w/ CCS;Capacity Additions|Electricity|Gas CC|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas CC|w/o CCS;Capacity Additions|Electricity|Gas CC|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas OC|w/o CCS;Capacity Additions|Electricity|Gas OC|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas;Capacity Additions|Electricity|Gas;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas CC;Capacity Additions|Electricity|Gas CC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas OC;Capacity Additions|Electricity|Gas OC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas|w/ CCS;Capacity Additions|Electricity|Gas|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas|w/o CCS;Capacity Additions|Electricity|Gas|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydro;Capacity Additions|Electricity|Hydro;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydrogen;Capacity Additions|Electricity|Hydrogen;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydrogen FC;Capacity Additions|Electricity|Hydrogen FC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydrogen OC;Capacity Additions|Electricity|Hydrogen OC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydrogen CC;Capacity Additions|Electricity|Hydrogen CC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Nuclear;Capacity Additions|Electricity|Nuclear;GW/yr;GW/yr;1
Capacity Additions|Electricity|Oil;Capacity Additions|Electricity|Oil;GW/yr;GW/yr;1
Capacity Additions|Electricity|Oil|w/o CCS;Capacity Additions|Electricity|Oil|w/o CCS;GW/yr;GW/yr;1
